Protein	10Y_1	10Y_2	4Y_1	4Y_2	1Y_1	1Y_2
P00558	1591260	1445340	1605920	1574660	1359430	1318130
P00560	5157890	4933570	2464110	2421620	613622	621203
P00568	183172	168205	205960	190935	221245	209187
P00572	26439.2	18154.1	4852.88	9320.24	1462.06	2454.96
P00635	21509.1	23690.7	12686.5	11095.7	2199.42	4455.9
P00724	22510.3	17395.8	11646.6	11320	2263.49	2897.6
P00729	160456	169201	66873.1	60080.4	16429.8	18936.9
P00812	158543	149029	72062.8	73159.4	23908.2	23398
P00813	9673.08	8042.93	7605.65	8722.7	8196.15	8752.14
P00815	87656.7	87740.8	36510.8	40774.4	9074.43	9355.33
P00817	1354080	1249670	617149	613755	133317	119380
P00830	539344	518003	214051	227732	48939.2	50126.1
P00846	8829.51	8431.65	8856.76	8889.61	10321.8	11918.4
P00890	138962	134092	50224.1	51813.8	12084.2	14467.3
P00899	171882	146878	72802.3	69492.7	17740.4	19465.5
P00918	743880	669631	795746	796799	710785	770162
P00924	9484440	8943410	4301100	4404090	1090650	1131550
P00925	9899390	9434450	4729920	4641230	1143780	1108300
P00927	119202	125635	49333.9	48025.9	10695.5	11008.7
P00931	229590	230385	105502	97948.6	21721.5	21043.3
P00937	71823.2	72854.6	29630.3	30475.8	7509.09	11834.1
P00942	2218330	2155790	1213610	1267550	294308	272262
P00950	8229770	8376700	4499870	4258410	907791	971673
P00958	324249	308743	138244	132470	31071.8	32997.4
P00966	52562.2	43963.8	50013.2	50270	47548.9	43601.2
P01008	7661.18	7650.87	6339.86	12056.6	8762.7	4026.46
P01023	29690.7	25908.5	39398.7	39190.9	30061.6	31696.9
P01024	10311.6	8207.14	11190.4	13602.6	15103.5	13591.4
P01033	2434.89	3105.61	2737.09		1555.06	1805.27
P01034	5282.72	3609.41	3718.98	2382.75	3416	1938.53
P01040	18936.2	19631	9846.45	10761.1	15688.7	14599.3
P01098					3400.38	
P01111	61741.8	70339	83553.6	71496.9	84671.8	74466.8
P01112	11100	15036.9	11641.6	14611.8	6017.61	7437.83
P01119	26343.8	29189.8	17664.2	11952	3795.97	4361.1
P01120	55668.6	51864.3	24561	22641.2	5230.51	6744.32
P01123	431188	386726	167322	163695	39620.8	35247.9
P01130	5445.14	3114.17	6555.61	3887.71	3569.51	3435.03
P01137	5461.06	5236.69	7809.6	6741.73	7756.1	7185.45
P01834	339.824	215.505	151.395	196.116	822.136	200.613
P01857			1302.52	680.796	2631.24	1489.85
P01889	8687.75	8676.2	10090.8	8613.94	10794.4	11091.6
P02042	16801.4	10740	12117.2	10783.3	12852.3	14785.9
P02294	2334410	1986010	1382670	1211150	418598	383626
P02309	2798720	2790170	1225160	1201590	310907	292424
P02381	3376.72	2899.32	1727.48	1280.74	748.053	1819.29
P02400	2943320	2968100	1757090	1746030	394044	396630
P02406	3734490	3132550	2081910	2032370	476943	491722
P02407	2788640	2499390	1420660	1398940	337035	326016
P02462	4309.84	2031.03	1525.87	718.393	893.429	1507.71
P02533	74743.7	62150.9	48168.5	49453.3	90231.5	95495.5
P02538	27815.9	32477.4	10719.3	11071.4	14480.1	15160.8
P02545	76815.9	69419.4	78662.7	82757.4	68708.6	69652.5
P02557	488836	490238	230948	212186	46073.5	45632.8
P02647	15047.6	14321.7	11686.9	18921.8	17713.6	12650.7
P02649	3836.5	3181.13	2499.62	2391.02	2777.96	2731.12
P02656	926.581	1122.2	1318.2	1342.42	1427.2	1086.26
P02751	17083.6	21271.2	16289.3	18431.3	11734.1	11470.4
P02765	127542	110615	174775	169192	58961.2	38025.8
P02768	592053	569562	677730	664351	552280	491771
P02771	32835	29381.2	32617.3	32153.4	33838.6	37522.4
P02774	4974.72	4588.59	8421.86	6453.39	7996.14	6428.41
P02786	198146	196519	216549	201087	200296	196686
P02787	4339.88		3351.18	2414.02	2397.41	2481.29
P02788	70328.5	72957.4	101503	103774	93631	95399
P02792	9495.49	7528.09	8039.94	8758.68	6215.35	8295.69
P02794	31831	40184.1	52751.7	52669.6	63591.5	51378.6
